ID,氏名,性別,所属学部,古典,物理,化学,経済,英語,数学,情報
S0000,鈴木 充,男,文学部,95,57,60,45,85,47,63
S0001,佐藤 和也,男,文学部,92,49,58,60,79,65,53
S0002,吉田 太郎,男,文学部,99,52,58,48,87,60,64
S0003,阿部 香織,女,文学部,94,64,47,49,88,51,55
S0004,吉田 あすか,女,文学部,93,45,63,53,78,56,51
S0005,伊藤 直子,女,文学部,99,62,52,56,86,63,55
S0006,井上 聡太郎,男,文学部,87,55,45,54,84,46,59
S0007,伊藤 直樹,男,文学部,98,45,45,61,90,52,53
S0008,藤井 美加子,女,文学部,89,48,61,53,79,52,57
S0009,山本 桃子,女,文学部,99,53,64,60,83,53,60
S0010,林 洋介,男,文学部,97,55,63,49,76,55,51
S0011,吉田 亮介,男,文学部,96,65,63,51,88,58,61
S0012,石川 さゆり,女,文学部,89,51,54,47,80,65,65
S0013,松本 裕美子,女,文学部,94,64,59,50,78,59,57
S0014,加藤 直子,女,文学部,89,59,63,48,78,60,55
S0015,山本 翔太,男,文学部,91,54,52,52,78,47,53
S0016,伊藤 健一,男,文学部,86,52,46,46,76,64,49
S0017,小林 舞,女,文学部,88,56,48,59,88,48,59
S0018,岡田 裕樹,男,文学部,87,64,53,51,85,65,45
S0019,斉藤 里佳,女,文学部,98,64,50,59,87,63,60
S0020,伊藤 拓真,男,文学部,92,55,49,62,77,45,56
S0021,渡辺 修平,男,文学部,95,60,49,47,76,53,53
S0022,山口 直子,女,文学部,94,49,53,57,83,47,61
S0023,渡辺 太一,男,文学部,94,52,57,51,86,45,53
S0024,渡辺 治,男,文学部,92,47,64,51,75,55,63
S0025,前田 直子,女,文学部,96,63,59,65,89,57,46
S0026,橋本 学,男,文学部,86,59,51,48,84,50,54
S0027,田中 健一,男,文学部,100,62,55,56,90,45,50
S0028,鈴木 洋介,男,文学部,85,52,64,50,80,56,45
S0029,藤原 健一,男,文学部,88,61,64,56,77,57,64
S0030,西村 零,男,文学部,87,63,52,51,76,55,62
S0031,西村 明美,女,文学部,95,56,53,60,78,46,50
S0032,田中 知実,女,文学部,85,63,55,52,86,51,57
S0033,山本 拓真,男,文学部,96,65,47,52,82,60,63
S0034,石井 翔太,男,文学部,87,49,55,56,79,59,60
S0035,佐藤 聡太郎,男,文学部,99,56,58,63,85,54,59
S0036,加藤 洋介,男,文学部,93,46,56,55,75,54,65
S0037,林 陽一,男,文学部,98,61,49,58,77,52,46
S0038,井上 拓真,男,文学部,98,64,52,53,75,48,63
S0039,木村 結衣,女,文学部,100,45,62,63,86,59,62
S0040,三浦 春香,女,文学部,93,49,58,61,81,64,48
S0041,田中 涼平,男,文学部,98,49,65,60,83,65,51
S0042,藤田 桃子,女,文学部,86,54,60,52,88,58,50
S0043,吉田 健一,男,文学部,93,55,62,54,86,52,60
S0044,村上 陽子,女,文学部,93,60,62,46,77,48,63
S0045,松本 くみ子,女,文学部,86,59,46,62,75,48,63
S0046,斉藤 聡太郎,男,文学部,86,47,53,61,83,50,45
S0047,石井 裕樹,男,文学部,99,52,58,63,83,55,53
S0048,前田 桃子,女,文学部,86,45,49,61,83,52,56
S0049,鈴木 春香,女,文学部,94,50,57,64,76,63,46
S0050,山口 浩,男,文学部,95,60,57,62,84,50,51
S0051,吉田 聡太郎,男,文学部,100,52,59,45,80,49,47
S0052,佐藤 和也,男,文学部,99,55,49,58,85,57,55
S0053,高橋 治,男,文学部,87,47,52,55,88,50,57
S0054,清水 康弘,男,文学部,86,51,55,50,85,45,64
S0055,岡本 直樹,男,文学部,94,65,65,56,86,46,58
S0056,渡辺 晃,男,文学部,88,53,56,53,90,46,59
S0057,清水 太郎,男,文学部,87,47,65,51,75,50,65
S0058,山下 さゆり,女,文学部,95,63,46,50,84,57,49
S0059,佐藤 結衣,女,文学部,93,48,49,62,75,45,51
S0060,伊藤 七夏,女,文学部,95,50,60,63,79,51,59
S0061,藤井 聡太郎,男,文学部,85,64,57,60,84,49,49
S0062,佐々木 美加子,女,文学部,97,47,55,63,84,49,60
S0063,橋本 幹,女,文学部,90,53,62,62,76,51,61
S0064,山田 知実,女,文学部,90,60,56,45,86,50,48
S0065,福田 洋介,男,文学部,95,52,64,61,86,62,53
S0066,山崎 里佳,女,文学部,85,53,49,55,88,48,62
S0067,太田 桃子,女,文学部,93,61,48,47,89,52,58
S0068,鈴木 さゆり,女,文学部,88,51,56,54,87,50,54
S0069,中川 幹,女,文学部,96,52,65,47,84,49,53
S0070,山本 直子,女,文学部,94,45,45,60,88,49,56
S0071,三浦 舞,女,文学部,92,58,45,52,82,54,48
S0072,山口 七夏,女,文学部,86,62,56,65,81,53,65
S0073,松本 結衣,女,文学部,98,50,62,48,84,65,54
S0074,佐藤 幹,女,文学部,98,48,62,48,89,52,48
S0075,斉藤 花子,女,文学部,94,49,49,49,75,48,46
S0076,林 涼平,男,文学部,94,62,48,45,77,59,47
S0077,山下 京助,男,文学部,96,53,53,51,90,60,53
S0078,山本 知実,女,文学部,89,59,48,55,81,62,51
S0079,森 健一,男,文学部,99,45,51,45,83,57,53
S0080,山口 拓真,男,文学部,93,63,46,65,85,62,59
S0081,佐々木 花子,女,文学部,89,60,47,62,79,55,65
S0082,田中 英樹,男,文学部,93,60,58,58,77,61,57
S0083,遠藤 真綾,女,文学部,85,55,62,55,87,56,51
S0084,山本 直樹,男,文学部,99,58,64,59,83,56,49
S0085,田中 太郎,男,文学部,99,64,65,57,89,65,50
S0086,高橋 太一,男,文学部,96,60,65,53,88,57,59
S0087,藤田 くみ子,女,文学部,87,54,54,45,82,60,47
S0088,小川 浩,男,文学部,99,50,47,51,89,64,57
S0089,池田 加奈,女,文学部,96,58,54,50,75,52,52
S0090,渡辺 直樹,男,文学部,95,61,61,52,75,47,59
S0091,鈴木 裕美子,女,文学部,94,63,45,52,79,50,60
S0092,山田 美加子,女,文学部,96,45,59,53,77,45,65
S0093,坂本 治,男,文学部,87,59,46,45,80,48,54
S0094,藤原 零,男,文学部,90,47,56,46,90,61,62
S0095,近藤 稔,男,文学部,97,58,55,53,81,51,55
S0096,鈴木 加奈,女,文学部,97,49,56,58,83,63,54
S0097,斎藤 結衣,女,文学部,87,63,58,52,77,46,47
S0098,近藤 春香,女,文学部,92,50,53,65,79,49,58
S0099,橋本 淳,男,文学部,98,46,65,45,87,60,62
S0100,斉藤 学,男,文学部,90,65,62,48,80,56,56
S0101,佐藤 知実,女,文学部,88,51,61,50,90,60,53
S0102,森 篤司,男,文学部,97,51,65,54,82,50,62
S0103,山本 充,男,文学部,88,55,57,48,75,59,46
S0104,山崎 あすか,女,文学部,95,49,55,56,79,58,56
S0105,長谷川 さゆり,女,文学部,93,65,56,57,87,61,60
S0106,藤原 修平,男,文学部,100,47,52,55,89,46,52
S0107,鈴木 裕美子,女,文学部,85,57,63,48,84,60,46
S0108,山下 花子,女,文学部,94,59,51,58,76,48,45
S0109,松本 智也,男,文学部,99,62,47,51,87,47,55
S0110,井上 健一,男,文学部,100,48,52,63,82,46,64
S0111,岡本 直子,女,文学部,89,47,54,45,81,59,54
S0112,山本 里佳,女,文学部,96,47,62,57,90,57,51
S0113,山口 香織,女,文学部,88,49,57,50,84,47,62
S0114,石井 篤司,男,文学部,96,61,57,53,82,55,60
S0115,後藤 知実,女,文学部,93,65,49,54,89,60,45
S0116,吉田 零,男,文学部,86,51,59,61,83,65,45
S0117,佐藤 亮介,男,文学部,94,58,46,46,89,61,63
S0118,松本 真綾,女,文学部,91,46,57,50,81,46,55
S0119,佐藤 美加子,女,文学部,89,51,46,59,78,50,45
S0120,岡本 零,男,文学部,96,45,63,65,83,55,49
S0121,近藤 千代,女,文学部,91,62,52,63,79,50,45
S0122,佐藤 涼平,男,文学部,88,58,56,51,80,63,53
S0123,佐藤 裕美子,女,文学部,96,65,53,45,84,62,59
S0124,小川 亮介,男,文学部,90,52,46,49,89,49,47
S0125,山口 太郎,男,文学部,91,62,58,48,84,63,51
S0126,斉藤 浩,男,文学部,95,45,45,63,88,46,48
S0127,田中 智也,男,文学部,88,49,51,65,84,49,47
S0128,佐藤 充,男,文学部,100,51,59,59,89,64,63
S0129,橋本 桃子,女,文学部,98,60,61,50,83,49,46
S0130,山下 七夏,女,文学部,85,54,61,59,88,45,52
S0131,渡辺 陽子,女,文学部,90,64,65,52,80,59,62
S0132,林 真綾,女,文学部,91,63,61,45,86,49,62
S0133,鈴木 篤司,男,文学部,97,60,50,64,85,46,53
S0134,山田 陽子,女,文学部,86,57,65,56,80,53,46
S0135,渡辺 陽一,男,文学部,97,49,50,46,79,53,57
S0136,石井 亮介,男,文学部,91,51,58,62,81,49,49
S0137,高橋 里佳,女,文学部,91,53,47,58,79,61,64
S0138,藤田 拓真,男,文学部,100,48,48,55,85,62,63
S0139,高橋 晃,男,文学部,100,47,62,60,80,50,56
S0140,小林 結衣,女,文学部,97,60,63,58,75,51,55
S0141,石井 淳,男,文学部,96,60,46,45,89,64,63
S0142,村上 翼,男,文学部,91,45,56,63,89,48,46
S0143,藤井 春香,女,文学部,91,59,45,55,87,45,59
S0144,田中 花子,女,文学部,97,63,50,49,78,57,47
S0145,佐藤 花子,女,文学部,97,55,58,63,85,53,48
S0146,木村 太一,男,文学部,97,52,65,49,78,60,49
S0147,長谷川 京助,男,文学部,98,59,57,63,75,47,55
S0148,佐藤 京助,男,文学部,98,45,48,46,77,55,49
S0149,山口 健一,男,文学部,97,56,58,56,80,49,46
S0150,岡田 涼平,男,文学部,85,59,64,56,89,48,56
S0151,石川 洋介,男,文学部,86,61,49,49,81,64,56
S0152,中川 亮介,男,文学部,91,65,63,48,84,61,62
S0153,岡本 春香,女,文学部,96,46,59,55,82,52,64
S0154,松本 あすか,女,文学部,98,56,64,50,85,54,55
S0155,石川 英樹,男,文学部,88,55,50,62,81,65,61
S0156,石井 裕美子,女,文学部,97,57,64,48,87,47,51
S0157,林 香織,女,文学部,88,61,45,58,82,61,51
S0158,渡辺 裕美子,女,文学部,91,49,46,45,77,64,54
S0159,清水 陽子,女,文学部,96,60,64,56,76,59,57
S0160,斎藤 結衣,女,文学部,86,65,48,46,81,50,49
S0161,佐藤 翔太,男,文学部,96,58,50,48,90,55,57
S0162,太田 直樹,男,文学部,96,59,50,46,84,50,48
S0163,三浦 さゆり,女,文学部,100,53,55,50,83,61,59
S0164,鈴木 智也,男,文学部,86,60,64,53,85,59,61
S0165,小林 裕樹,男,文学部,97,49,53,61,80,52,52
S0166,林 加奈,女,文学部,95,47,45,55,80,50,50
S0167,林 裕樹,男,文学部,98,63,54,58,86,56,58
S0168,佐藤 香織,女,文学部,90,60,55,51,85,50,55
S0169,岡本 裕美子,女,文学部,87,58,45,55,75,56,49
S0170,佐藤 花子,女,文学部,88,58,58,57,80,47,52
S0171,中川 洋介,男,文学部,92,64,57,60,75,53,59
S0172,田中 七夏,女,文学部,97,60,58,48,80,60,62
S0173,田中 くみ子,女,文学部,92,60,50,64,78,45,64
S0174,加藤 直人,男,文学部,90,49,63,60,83,63,56
S0175,山下 亮介,男,文学部,89,49,56,46,88,46,49
S0176,井上 桃子,女,文学部,93,46,63,50,82,63,47
S0177,岡田 浩,男,文学部,98,65,59,47,83,52,54
S0178,斉藤 あすか,女,文学部,96,52,53,50,78,62,48
S0179,佐藤 香織,女,文学部,94,58,52,50,78,46,51
S0180,山下 裕太,男,文学部,99,55,61,64,76,53,56
S0181,田中 涼平,男,文学部,100,47,51,58,84,64,65
S0182,斎藤 裕美子,女,文学部,98,65,55,54,89,52,58
S0183,渡辺 晃,男,文学部,90,51,57,57,88,58,48
S0184,伊藤 幹,女,文学部,92,59,54,65,88,63,63
S0185,山口 花子,女,文学部,99,57,63,45,85,47,50
S0186,田中 直子,女,文学部,98,54,58,47,88,56,54
S0187,佐藤 香織,女,文学部,94,61,51,65,87,63,57
S0188,太田 加奈,女,文学部,97,46,53,57,90,46,51
S0189,中島 桃子,女,文学部,88,48,52,60,79,62,59
S0190,加藤 学,男,文学部,95,48,58,60,80,61,56
S0191,山崎 千代,女,文学部,96,65,52,65,89,64,49
S0192,長谷川 学,男,文学部,89,59,56,45,77,61,58
S0193,遠藤 和也,男,文学部,97,60,52,53,85,57,52
